Symbol,Name,Price,Average Volume 10D Calc,Subtype,Recommend All|240,Recommend Ma|240,Recommend Other|240,Roc|240,Recommend All|60,Recommend Ma|60,Recommend Other|60,Roc|60,Recommend All|15,Recommend Ma|15,Recommend Other|15,Roc|15,Update Mode,TREND_SCORE,MA_SCORE,OSC_SCORE,ROC_SCORE,ENSEMBLE_SCORE,DIRECTION,TF_240_DIR,TF_60_DIR,TF_15_DIR,TF_CONFLUENCE_LONG,TF_CONFLUENCE_SHORT,TREND_DIR,MA_DIR,OSC_DIR,ROC_DIR,FACTOR_BULLISH_COUNT,CONFLUENCE_LEVEL,RATING_SCORE,ROC_AVG,STRATEGY,HTF_TREND,STF_TREND,CONFLUENCE_SCORE,LTF_MOMENTUM,ROC_240,ROC_60,ROC_15
ICMARKETS:EURCAD,EURCAD,1.61157,160702.4,cfd,-0.5363636363636364,-0.8,-0.2727272727272727,-0.12518591968269155,-0.24545454545454548,-0.4,-0.09090909090909091,0.0465598480286578,-0.49090909090909096,-0.8,-0.18181818181818182,-0.053955161400348936,streaming,-0.4263636363636364,-0.68,-0.17272727272727273,-0.044193744351460895,-0.41351028352605523,short,bearish,bearish,bearish,0,3,bearish,bearish,bearish,bearish,0,strong,-0.41351028352605523,-0.044193744351460895,trend_following,-0.5363636363636364,-0.24545454545454548,2,,,,
ICMARKETS:CHFJPY,CHFJPY,199.847,220317.3,cfd,-0.33636363636363636,-0.4,-0.2727272727272727,-0.1718281718281689,-0.35757575757575755,-0.5333333333333333,-0.18181818181818182,-0.09347990182111438,-0.5575757575757576,-0.9333333333333333,-0.18181818181818182,-0.116448180559653,streaming,-0.45333333333333337,-0.7066666666666667,-0.2,-0.12725208473631208,-0.4460585418069646,short,bearish,bearish,bearish,0,3,bearish,bearish,bearish,bearish,0,strong,-0.4460585418069646,-0.12725208473631208,trend_following,-0.33636363636363636,-0.35757575757575755,2,,,,
ICMARKETS:GBPCAD,GBPCAD,1.84372,188522.9,cfd,-0.4454545454545455,-0.8,-0.09090909090909091,-0.17219439555976504,-0.4,-0.8,0.0,-0.06613218848757847,-0.49090909090909096,-0.8,-0.18181818181818182,-0.12676674377407396,streaming,-0.4545454545454546,-0.8,-0.1090909090909091,-0.12169777594047249,-0.45580614123041097,short,bearish,bearish,bearish,0,3,bearish,bearish,bearish,bearish,0,strong,-0.45580614123041097,-0.12169777594047249,trend_following,-0.4454545454545455,-0.4,2,,,,
ICMARKETS:EURNZD,EURNZD,1.97058,168296.8,cfd,-0.17878787878787877,-0.26666666666666666,-0.09090909090909091,-0.19953206186507047,-0.35757575757575755,-0.5333333333333333,-0.18181818181818182,-0.30908695410236087,-0.6484848484848484,-0.9333333333333333,-0.36363636363636365,-0.10189132605731602,streaming,-0.46727272727272723,-0.68,-0.2545454545454545,-0.20350344734158243,-0.4621685265523401,short,bearish,bearish,bearish,0,3,bearish,bearish,bearish,bearish,0,strong,-0.4621685265523401,-0.20350344734158243,trend_following,-0.17878787878787877,-0.35757575757575755,2,,,,
ICMARKETS:EURAUD,EURAUD,1.66304,191813.1,cfd,-0.5575757575757576,-0.9333333333333333,-0.18181818181818182,-0.4918297622822885,-0.4666666666666667,-0.9333333333333333,0.0,-0.442387816675447,-0.5121212121212121,-0.9333333333333333,-0.09090909090909091,-0.07450445524626305,streaming,-0.5075757575757576,-0.9333333333333333,-0.08181818181818182,-0.33624067806799957,-0.5330180072007393,short,bearish,bearish,bearish,0,3,bearish,bearish,bearish,bearish,0,strong,-0.5330180072007393,-0.33624067806799957,trend_following,-0.5575757575757576,-0.4666666666666667,2,,,,
ICMARKETS:EURNOK,EURNOK,11.21275,298070.6,cfd,-0.5575757575757576,-0.9333333333333333,-0.18181818181818182,-0.33851398669762145,-0.5121212121212121,-0.9333333333333333,-0.09090909090909091,-0.29456324974482345,-0.5121212121212121,-0.9333333333333333,-0.09090909090909091,-0.07832256063984974,streaming,-0.5212121212121212,-0.9333333333333333,-0.1090909090909091,-0.2371332656940982,-0.5340163568724401,short,bearish,bearish,bearish,0,3,bearish,bearish,bearish,bearish,0,strong,-0.5340163568724401,-0.2371332656940982,trend_following,-0.5575757575757576,-0.5121212121212121,2,,,,
ICMARKETS:GBPNZD,GBPNZD,2.25451,202251.5,cfd,-0.5121212121212121,-0.9333333333333333,-0.09090909090909091,-0.24735060510187226,-0.603030303030303,-0.9333333333333333,-0.2727272727272727,-0.4213967048014436,-0.6484848484848484,-0.9333333333333333,-0.36363636363636365,-0.17535158879165672,streaming,-0.6075757575757575,-0.9333333333333333,-0.2818181818181818,-0.2813662995649909,-0.6075305693504385,short,bearish,bearish,bearish,0,3,bearish,bearish,bearish,bearish,0,strong,-0.6075305693504385,-0.2813662995649909,trend_following,-0.5121212121212121,-0.603030303030303,2,,,,
ICMARKETS:GBPAUD,GBPAUD,1.90273,221050.6,cfd,-0.6484848484848484,-0.9333333333333333,-0.36363636363636365,-0.5389976003889472,-0.603030303030303,-0.9333333333333333,-0.2727272727272727,-0.5540745387068079,-0.6484848484848484,-0.9333333333333333,-0.36363636363636365,-0.14748256189281425,streaming,-0.6348484848484848,-0.9333333333333333,-0.33636363636363636,-0.41351823366285645,-0.6425639445784068,short,bearish,bearish,bearish,0,3,bearish,bearish,bearish,bearish,0,strong,-0.6425639445784068,-0.41351823366285645,trend_following,-0.6484848484848484,-0.603030303030303,2,,,,
ICMARKETS:GBPUSD,GBPUSD,1.34799,145598.1,cfd,-0.4454545454545455,-0.8,-0.09090909090909091,-0.2058313959514893,-0.02121212121212121,-0.13333333333333333,0.09090909090909091,0.02523191094619718,-0.403030303030303,-0.5333333333333333,-0.2727272727272727,-0.046719615564315885,streaming,-0.296969696969697,-0.4666666666666667,-0.12727272727272726,-0.07577303352320268,-0.2918197275947445,long,bearish,bearish,bearish,0,3,bearish,bearish,bearish,bearish,0,strong,-0.2918197275947445,-0.07577303352320268,mean_reversion,,,1,-0.2727272727272727,,,
ICMARKETS:USDCAD,USDCAD,1.36805,108595.6,cfd,0.13333333333333333,0.26666666666666666,0.0,0.025593775593764655,-0.2909090909090909,-0.4,-0.18181818181818182,-0.09056978621148994,-0.5363636363636364,-0.8,-0.2727272727272727,-0.0796224871435276,streaming,-0.3287878787878788,-0.4666666666666667,-0.1909090909090909,-0.048199499253750965,-0.3145169196223448,long,bullish,bearish,bearish,1,2,bearish,bearish,bearish,bearish,0,medium,-0.3145169196223448,-0.048199499253750965,mean_reversion,,,1,-0.2727272727272727,,,
ICMARKETS:EURNZD,EURNZD,1.97058,168296.8,cfd,-0.17878787878787877,-0.26666666666666666,-0.09090909090909091,-0.19953206186507047,-0.35757575757575755,-0.5333333333333333,-0.18181818181818182,-0.30908695410236087,-0.6484848484848484,-0.9333333333333333,-0.36363636363636365,-0.10189132605731602,streaming,-0.46727272727272723,-0.68,-0.2545454545454545,-0.20350344734158243,-0.4621685265523401,long,bearish,bearish,bearish,0,3,bearish,bearish,bearish,bearish,0,strong,-0.4621685265523401,-0.20350344734158243,mean_reversion,,,1,-0.36363636363636365,,,
ICMARKETS:GBPNZD,GBPNZD,2.25451,202251.5,cfd,-0.5121212121212121,-0.9333333333333333,-0.09090909090909091,-0.24735060510187226,-0.603030303030303,-0.9333333333333333,-0.2727272727272727,-0.4213967048014436,-0.6484848484848484,-0.9333333333333333,-0.36363636363636365,-0.17535158879165672,streaming,-0.6075757575757575,-0.9333333333333333,-0.2818181818181818,-0.2813662995649909,-0.6075305693504385,long,bearish,bearish,bearish,0,3,bearish,bearish,bearish,bearish,0,strong,-0.6075305693504385,-0.2813662995649909,mean_reversion,,,1,-0.36363636363636365,,,
ICMARKETS:GBPAUD,GBPAUD,1.90273,221050.6,cfd,-0.6484848484848484,-0.9333333333333333,-0.36363636363636365,-0.5389976003889472,-0.603030303030303,-0.9333333333333333,-0.2727272727272727,-0.5540745387068079,-0.6484848484848484,-0.9333333333333333,-0.36363636363636365,-0.14748256189281425,streaming,-0.6348484848484848,-0.9333333333333333,-0.33636363636363636,-0.41351823366285645,-0.6425639445784068,long,bearish,bearish,bearish,0,3,bearish,bearish,bearish,bearish,0,strong,-0.6425639445784068,-0.41351823366285645,mean_reversion,,,1,-0.36363636363636365,,,
ICMARKETS:USDCAD,USDCAD,1.36805,108595.6,cfd,0.13333333333333333,0.26666666666666666,0.0,0.025593775593764655,-0.2909090909090909,-0.4,-0.18181818181818182,-0.09056978621148994,-0.5363636363636364,-0.8,-0.2727272727272727,-0.0796224871435276,streaming,-0.3287878787878788,-0.4666666666666667,-0.1909090909090909,-0.048199499253750965,-0.3145169196223448,long,bullish,bearish,bearish,1,2,bearish,bearish,bearish,bearish,0,medium,-0.3145169196223448,-0.048199499253750965,hybrid,0.13333333333333333,,2,-0.2727272727272727,,,
